#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg,"is the graphical server."
,xorg-xinit,"allows you to startx"
,xorg-xmodmap,"creates the function key remapping"
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,thunar,"is a nice file manager"
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,kakoune,"a fun experament to try out"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,firefox,"is a great browser that works well."
,qutebrowser,"is a vim like browser that I like to play with."
A,ttf-font-awesome,"is an icon font used by dwm."
A,ttf-joypixels,"is another emoji font."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,pavucontrol,"is a gui pulse controler."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
A,xbanish,"hides an inactive mouse."
,unrar,"extracts rar's."
A,exa,"is an ls replacement in rust"
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,arandr,"helps set screenlayout"
,xclip,"allows for copying and pasting from the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,shell-color-scripts,"sets pretty shell start colors."
A,simple-mtpfs,"enables the mounting of cell phones."
A,rofi-emoji,"makes rofi pick emojis."
G,https://github.com/evandermay/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/evandermay/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/evandermay/dwm.git,"is the window manager."
A,betterlockscreen,"allows you to lock your computer, and quickly unlock with your password."
